h3_index,date,count,elevation,elevation_std
87446d44effffff,2020-03-26,1,121.0,0.9496615793475494
87446d44effffff,2020-04-06,14,121.0,0.9496615793475494
87446d44effffff,2020-04-11,2,121.0,0.9496615793475494
87446d44effffff,2020-04-20,8,121.0,0.9496615793475494
87446d44effffff,2020-06-03,2,121.0,0.9496615793475494
87446d44effffff,2020-07-28,11,121.0,0.9496615793475494
87446d44effffff,2020-09-06,6,121.0,0.9496615793475494
87446d44effffff,2020-09-25,29,121.0,0.9496615793475494
87446d44effffff,2020-11-19,3,121.0,0.9496615793475494
87446d44effffff,2020-12-15,7,121.0,0.9496615793475494
87446d44effffff,2021-01-09,8,121.0,0.9496615793475494
87446d44effffff,2021-02-06,2,121.0,0.9496615793475494
87446d44effffff,2021-06-02,11,121.0,0.9496615793475494
87446d44effffff,2021-07-21,16,121.0,0.9496615793475494
87446d44effffff,2021-08-07,4,121.0,0.9496615793475494
87446d44effffff,2021-10-02,6,121.0,0.9496615793475494
87446d44effffff,2021-10-13,17,121.0,0.9496615793475494
87446d44effffff,2021-11-17,9,121.0,0.9496615793475494
87446d44effffff,2021-12-09,4,121.0,0.9496615793475494
87446d44effffff,2021-12-28,7,121.0,0.9496615793475494
87446d44effffff,2022-01-26,1,121.0,0.9496615793475494
87446d44effffff,2022-04-09,3,121.0,0.9496615793475494
87446d44effffff,2022-05-26,1,121.0,0.9496615793475494
87446d44effffff,2022-06-29,1,121.0,0.9496615793475494
87446d44effffff,2022-08-25,5,121.0,0.9496615793475494
87446d44effffff,2022-09-07,22,121.0,0.9496615793475494
87446d44effffff,2022-09-21,8,121.0,0.9496615793475494
87446d44effffff,2023-02-18,17,121.0,0.9496615793475494
87446d44effffff,2023-03-18,2,121.0,0.9496615793475494
87446d44effffff,2023-04-25,7,121.0,0.9496615793475494
87446d44effffff,2023-05-06,6,121.0,0.9496615793475494
87446d44effffff,2023-07-23,8,121.0,0.9496615793475494
87446d44effffff,2024-01-27,2,121.0,0.9496615793475494
87446d44effffff,2024-02-21,6,121.0,0.9496615793475494
87446d44effffff,2024-03-30,1,121.0,0.9496615793475494
87446d44effffff,2024-04-21,3,121.0,0.9496615793475494
87446d44effffff,2024-05-01,2,121.0,0.9496615793475494
87446d44effffff,2024-09-06,2,121.0,0.9496615793475494
87446d452ffffff,2018-03-24,6,90.0,-0.367750629225059
87446d452ffffff,2019-10-26,28,90.0,-0.367750629225059
