date,photo_count,temp,min,max,precip
2022-06-25,12,28.8,26.0,33.0,0.0
2022-06-23,16,28.5,26.0,30.0,1.8
2022-06-22,1,28.3,26.0,31.0,0.0
2022-06-18,2,,,,
2022-06-17,4,29.3,27.0,33.0,0.0
2022-06-15,10,30.7,27.0,36.0,0.0
2022-06-12,24,,,,
2022-06-11,24,,,,
2022-06-09,1,28.5,27.0,31.0,0.0
2022-06-08,4,29.8,26.0,36.0,0.0
2022-06-06,12,27.4,26.0,31.0,0.0
2022-06-05,10,27.9,22.0,34.0,0.0
2022-06-04,48,24.8,23.0,28.0,0.0
2022-06-03,16,,,,
2022-06-02,22,26.9,24.0,29.0,0.0
2022-06-01,11,28.4,24.0,33.0,0.0
2022-05-31,8,27.1,26.0,28.0,0.2
2022-05-29,27,26.3,24.0,29.0,0.0
2022-05-28,29,25.1,21.0,31.0,0.0
2022-05-27,5,25.8,24.0,29.0,0.0
2022-05-26,7,21.4,18.0,25.0,0.0
2022-05-25,4,23.7,23.0,26.0,3.6
2022-05-24,17,21.8,21.0,23.0,0.0
2022-05-23,13,23.2,20.0,29.0,8.6
2022-05-22,11,28.1,27.0,29.0,0.0
2022-05-21,9,29.5,27.0,34.0,0.0
2022-05-20,9,26.6,26.0,28.0,0.0
2022-05-19,7,28.3,24.0,35.0,0.0
2022-05-18,8,28.2,24.0,35.0,0.0
2022-05-17,11,27.2,25.0,29.0,0.0
2022-05-16,3,28.1,22.0,34.0,0.0
2022-05-15,19,26.1,24.0,29.0,0.0
2022-05-14,4,25.9,23.0,29.0,0.0
2022-05-13,26,24.4,22.0,28.0,0.0
2022-05-12,2,24.6,23.0,26.0,0.0
2022-05-09,9,27.0,27.0,28.0,0.0
2022-05-08,10,27.2,26.0,29.0,0.0
2022-05-07,29,26.1,24.0,28.0,0.0
2022-05-06,5,20.4,19.0,21.0,23.0
2022-05-04,18,24.5,23.0,27.0,0.2
2022-05-03,11,25.3,25.0,26.0,0.0
2022-05-02,3,24.3,23.0,26.0,20.0
2022-05-01,18,25.7,22.0,32.0,0.0
2022-04-30,7,23.9,23.0,25.0,0.0
2022-04-29,9,,,,
2022-04-28,31,19.6,17.0,23.0,0.0
2022-04-27,4,19.8,18.0,22.0,0.0
2022-04-26,5,17.7,17.0,18.0,43.6
2022-04-25,4,24.1,17.0,29.0,7.5
2022-04-24,3,24.6,21.0,31.0,0.0
2022-04-23,2,24.2,22.0,29.0,0.0
2022-04-18,8,23.2,17.0,32.0,0.0
2022-04-16,8,23.9,22.0,26.0,0.7
2022-04-14,6,21.3,17.0,26.0,0.7
2022-04-11,2,21.9,21.0,23.0,0.0
2022-04-10,1,20.3,19.0,24.0,0.0
2022-04-09,3,13.6,10.0,20.0,0.0
2022-04-07,2,19.4,16.0,23.0,0.0
2022-04-03,4,19.8,16.0,25.0,0.0
2022-04-02,3,17.2,14.0,20.0,0.0
2022-04-01,5,17.9,11.0,26.0,0.0
2022-03-31,3,16.9,12.0,23.0,9.7
2022-03-30,6,23.6,23.0,24.0,0.0
2022-03-29,2,21.8,21.0,23.0,0.0
2022-03-25,3,10.5,8.0,16.0,0.0
2022-03-18,2,21.1,19.0,22.0,3.7
2022-03-17,1,16.2,12.0,21.0,0.0
2022-03-16,5,16.1,12.0,19.0,0.0
2022-03-15,12,18.1,14.0,21.0,12.4
2022-03-14,1,12.8,12.0,13.0,0.0
2022-03-12,2,4.1,2.0,7.0,0.5
2022-03-10,7,8.9,5.0,13.0,0.0
2022-03-09,12,6.6,6.0,7.0,2.5
2022-03-07,7,22.6,22.0,23.0,0.0
2022-03-05,1,19.1,18.0,20.0,0.0
2022-03-01,7,7.1,4.0,10.0,0.0
2022-02-28,2,7.2,4.0,12.0,0.0
2022-02-27,14,5.2,5.0,6.0,3.6
2022-02-26,3,5.1,4.0,7.0,2.5
2022-02-22,1,22.8,23.0,23.0,1.0
2022-02-17,3,19.9,19.0,21.0,1.5
2022-02-15,2,8.8,6.0,13.0,0.0
